Geo__geoid_,Geo_qname,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEO_ID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017,SE_A14006_001,SE_A14008_001,SE_B10060_001,SE_B10060_002,SE_B10060_003,SE_B18002_001,SE_B18002_002,SE_B18002_003,SE_B10040_001,SE_B10040_002,SE_B10040_003,SE_A10038_001,SE_A10038_002,SE_A10038_003,SE_A10038_004,SE_A10038_005,SE_A10038_006,SE_A10038_007,SE_A10038_008,SE_A10038_009,SE_A10038_010,SE_A10038_011,SE_A13004_001,SE_A13004_002,SE_A13004_003,SE_A13004_004,SE_A13004_005,SE_A13004_006,SE_A13004_007
"94002","ZCTA5 94002","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94002","ZCTA5 94002",,,,27730,27730,13984,589,83,8171,347,1697,2859,27730,23765,12738,421,66,8148,270,343,1779,3965,1246,168,17,23,77,1354,1080,10608,297,196,287,210,205,65,183,89,118,195,462,507,678,623,1068,5425,204573,256667.7790346908,5957,3222,2735,4651,935,1024,5957,1462,596,4651,82,202,44,42,77,262,912,844,2091,95,27271,1185,143,462,748,958,23775
"94005","ZCTA5 94005","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94005","ZCTA5 94005",,,,4718,4718,2321,1,78,1525,24,293,476,4718,3645,1949,1,0,1525,24,20,126,1073,372,0,78,0,0,273,350,1867,121,0,18,0,15,20,47,109,68,39,122,136,104,102,266,700,151593,260164.86341724693,1129,595,534,738,31,194,1129,493,295,738,0,0,0,0,121,34,153,226,203,1,4668,324,0,16,164,221,3943
"94010","ZCTA5 94010","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94010","ZCTA5 94010",,,,42794,42794,23642,358,41,12754,78,1962,3959,42794,38007,22220,358,29,12626,78,464,2232,4787,1422,0,12,128,0,1498,1727,16252,502,227,82,179,215,178,192,165,328,305,831,1297,1155,1035,1803,7758,191758,304930.59931085404,9854,6300,3554,6398,1484,1213,9854,2871,1667,6398,20,73,0,29,72,815,1698,1237,2237,217,42444,1518,513,242,749,1399,38023
"94014","ZCTA5 94014","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94014","ZCTA5 94014",,,,46269,46269,6772,1287,668,25462,290,6691,5099,46269,32481,4010,1078,43,25209,290,471,1380,13788,2762,209,625,253,0,6220,3719,14107,609,305,227,396,483,239,358,431,326,448,1008,1299,1518,1183,2317,2960,115513,138515.66598142765,8375,1267,7108,5732,1405,1369,8375,2736,1239,5732,173,174,120,100,754,1177,1141,543,1222,328,46199,1790,537,1015,3107,2916,36834
"94015","ZCTA5 94015","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94015","ZCTA5 94015",,,,64121,64121,11893,2076,767,38860,795,3579,6151,64121,53931,9667,1752,223,38412,727,679,2471,10190,2226,324,544,448,68,2900,3680,20514,664,316,313,401,445,432,401,444,417,718,1389,2425,2031,1901,3106,5111,123552,153285.63907575313,12400,2064,10336,8114,2060,2397,12400,3721,1594,8114,0,98,29,191,382,545,1750,1744,3064,311,63553,2476,1085,764,3027,2690,53511
"94019","ZCTA5 94019","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94019","ZCTA5 94019",,,,14754,14754,9781,119,0,575,1,1512,2766,14754,10401,9093,70,0,575,1,0,662,4353,688,49,0,0,0,1512,2104,5299,141,97,102,85,93,105,132,96,41,120,222,371,397,542,769,1986,153272,220244.87639177204,4028,3417,611,1271,267,191,4028,1264,528,1271,78,121,37,22,229,142,66,241,309,26,14677,514,190,300,1058,808,11807
"94020","ZCTA5 94020","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94020","ZCTA5 94020",,,,1745,1745,1296,0,1,141,0,161,146,1745,1650,1296,0,0,141,0,82,131,95,0,0,1,0,0,79,15,762,31,0,45,0,0,0,0,0,0,0,12,55,10,38,11,560,250001,270682.9396325459,605,472,133,157,0,31,605,81,56,157,0,0,0,25,12,0,0,31,16,73,1740,12,45,0,45,0,1638
"94021","ZCTA5 94021","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94021","ZCTA5 94021",,,,332,332,305,0,0,27,0,0,0,332,332,305,0,0,27,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,13,14,0,24,97,209712,263636.4864864865,110,97,13,38,0,0,110,14,0,38,0,0,0,0,13,0,25,0,0,0,332,0,0,0,0,0,332
"94025","ZCTA5 94025","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94025","ZCTA5 94025",,,,40230,40230,23615,1161,199,7068,129,3059,4999,40230,32404,21619,1119,16,7028,115,163,2344,7826,1996,42,183,40,14,2896,2655,14318,258,80,169,134,124,246,219,248,201,489,386,771,877,999,1289,7828,215871,346797.5834613773,8503,5651,2852,5815,1568,874,8503,2128,924,5815,72,88,121,75,203,321,962,690,3175,108,39856,1080,364,464,656,781,36511
"94027","ZCTA5 94027","US",860,0,,,,,,,,,,,,,,,,,,,,,,".",".",,,,,,,,,,,,,,"860Z200US94027","ZCTA5 94027",,,,7030,7030,4909,57,4,1304,13,111,632,7030,6207,4479,57,4,1304,13,0,350,823,430,0,0,0,0,111,282,2275,40,57,8,26,0,18,0,19,22,13,75,45,139,74,169,1570,250001,618416.3956043957,1989,1411,578,286,22,25,1989,684,430,286,0,25,0,0,10,0,0,0,192,59,6471,139,24,52,88,76,6092
